CVE_ID,G:A:V,downstream_GA
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-info
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-log
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-rpc-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-sso
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-task
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-uct
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.naspat:wx-tools-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.naspat:wx-tools-cp
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.naspat:wx-tools-ma
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.naspat:wx-tools-mp
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.naspat:wx-tools-open
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.naspat:wx-tools-pay
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.redislabs:riot
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.sangupta:jerry-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.souher:fastapi
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.swiftmq:swiftmq-client
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.teamscale:teamscale-commons
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.thankjava.toolkit3d:fast-toolkit3d
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.thoughtworks.xstream:xstream-benchmark
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.thoughtworks.xstream:xstream-hibernate
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.thoughtworks.xstream:xstream-jmh
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.tmsps:ne4weixin
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.tukeof.common:common-rest
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.weicoder:core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.weicoder:outdated
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.weicoder:xml
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.xceptance:xlt
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.xyzla:xyzla-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.yioks.core:springboot-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,de.alpharogroup:email-tails
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,de.alpharogroup:xml-extensions
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,de.digitalcollections.model:dc-model-xml
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,de.sciss:weblaf-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,dev.chromie:chromie-xml-xstream-serializer
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,eu.mihosoft.vrl.workflow:vworkflows-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,im.shs:tick-wechat-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.github.assimbly:docconverter
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.github.fvarrui:gradle-launch4j
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.github.gamercatorg:CatUtils
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.github.jast90:zhangtool-pay
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.jmad:aloha
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.jmad:jmad-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,io.quarkus:quarkus-junit5
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,net.jkcode:jkutil
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,net.ripe.rpki:rpki-commons
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,net.unit8.waitt.feature:waitt-admin
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,net.ymate.framework:ymate-framework-commons
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,net.ymate.starter:ymate-starter-framework
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,no.mnemonic.messaging:requestsink-jms
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.apache.brooklyn:brooklyn-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.bonitasoft.engine:bonita-client
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.craftercms:crafter-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.craftercms:crafter-profile-client
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.cyclonedx:cyclonedx-core-java
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.dreamcat:common-hc
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-beliefs
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-examples
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-scenario-simulation-api
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-scenario-simulation-backend
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-traits
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-wb-guided-dtable-editor-backend
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-wb-scenario-simulation-editor-api
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:drools-wb-scenario-simulation-editor-backend
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.drools:kie-pmml
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.easybatch:easybatch-xstream
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.fuin:units4j
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.gjgr.pig:pig-chivalrous-language
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.ikasan:ikasan-builder
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.ikasan:ikasan-filetransfer-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.infinispan:infinispan-server-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.javalite:javalite-async
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.jbpm:jbpm-audit
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.jbpm:jbpm-case-mgmt-impl
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.jbpm:jbpm-human-task-audit
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.jbpm:jbpm-kie-services
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,org.jbpm:jbpm-task-assigning-core
